symbol,Business Content
A,環境、食品の品質・安全性等の化学分析を行うツールを開発、提供
AA,アルミ原料を掘削する鉱山事業及び精練事業に従事
AADI,眼疾患の治療薬を開発をしている米国のバイオ医薬品企業
AAL,米国の航空会社
AAN,オフィスと住宅用家具のリース・販売会社
AAOI,通信機器や光ファイバーなどの光通信製品を設計、製造する半導体会社。
AAON,業務用屋上型エアコン、暖房・熱回収設備、エアコン用コイルの設計、製造、販売を手掛ける空調設備機器メーカー。
AAP,自動車用品の小売りチェーン
AAPL,パソコン、コミュニケーション機器等の製造販売
AATC,交通管理のためのビデオおよびレーダーイメージ処理製品の開発、販売をしている企業
AAU,金・銀・銅の採掘および金の製造を手掛ける鉱山会社
AAWW,世界の主要航空会社に航空機、乗組員、商用・軍用機、整備、保険付き貨物航空機を提供持株会社。
ABBV,免疫や肝炎向けなどの薬品を開発・販売する製薬会社
ABC,医薬品サービス会社
ABCB,銀行子会社Ameris Bank（同行）を通じてバンキングサービスを小売と商業顧客へ提供している。
ABCL,抗体ベースでの医薬品開発に従事する、カナダのバイオテクノロジー企業
ABEO,臨床試験段階の医薬品を開発するバイオ医薬品メーカー。
ABG,自動車販売会社
ABIO,心血管疾患の遺伝子標的療法の開発を行っている米国のバイオ医薬品企業
ABM,北米各地の都市で商工業・諸機関の顧客から空調、エンジニアリング施設サービス請負会社。
ABMD,循環器医療機器メーカー。心臓鼓動機能の補助・代替テクノロジーを開発する。世界のヘルスケア専門家向けに製品とサービスを提供する。
ABNB,民泊仲介大手サイト運営会社
ABOS,臨床段階にあるバイオ医薬品会社として運営。アルツハイマー病の原因となる病気を治療するための新しいアプローチを開発。
ABSI,米国のバイオテクノロジー企業。
ABT,ヘルスケア製品のメーカー
ABTX,米国の銀行持株会社
ABUS,バイオ製薬会社
ACA,貨物鉄道車両および鉄道車両リース・サービスの製造事業で構成されている、インフラ構築サービスを提供する会社。
ACAD,中枢神経障害に対する小分子薬剤の発見、開発、販売に注力するバイオ医薬品会社。
ACB,カナダの医療用大麻メーカー
ACBI,米国の銀行持株会社
ACCD,ヘルスケア・福利厚生サポートサービスを提供
ACCO,ホチキス、スケジュール帳、シュレッダーなどを取り扱うオフィス用品メーカー。
ACEL,GaaS（サービスとしてのゲーム）に従事しているゲーム会社。
ACET,米国のバイオ医薬品会社
ACGL,バミューダの保険・金融サービス会社
ACHC,精神病や薬物乱用患者などに行動障害ケアを行うヘルスケアサービス会社
ACHR,eVTOL（電動垂直離着陸機）の開発
ACHV,ニコチン依存症の患者のためのシスチンを使用した治療薬の開発および商品化に従事している医薬品メーカー。
ACI,スーパーマーケットチェーン店
ACIU,スイスのバイオ医薬品企業。
ACIW,国際電子送金ソフトウエアの開発・販売・支援を手掛ける企業
ACLS,半導体部品メーカー。
ACM,建築設計等に関するコンサルティングサービスを提供
ACMR,主に半導体メーカー向けの粒子や汚染物質を除去するクリーニング装置を開発する米国の産業機械メーカー
ACN,アイルランドに本社を置く経営コンサルティング・情報処理大手
ACNB,金融持株会社
ACOR,脊髄損傷とそれに伴う多発性硬化症などの神経治療法を提供するバイオテクノロジー会社
ACRS,臨床段階の製薬会社。
ACRX,鎮痛剤を提供している特殊医薬品メーカー。
ACTG,子会社を通して特許技術の開発、買収、ライセンス化を手掛けるテクノロジー関連持株会社
ACU,学校・家庭等に向けた事務製品の卸しを行う米国の企業
ACVA,米国のデジタルサービス企業
